formula,class,source,mp_id,e_above_hull,formation_e,is_stable,confidence,n_atoms_cell,sg,elements,ang_mom,predicted_phase,cif_filename
AlFeTiVW,hea,prototype,,,,,medium,16,BCC_SQS,Al;Fe;Ti;V;W,"{""Al"": ""p"", ""Fe"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,AlFeTiVW_bcc.cif
CoCuNiTiV,hea,prototype,,,,,low,16,BCC_SQS,Co;Cu;Ni;Ti;V,"{""Co"": ""d"", ""Cu"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CoCuNiTiV_bcc.cif
CoMoNiTiV,hea,prototype,,,,,low,16,BCC_SQS,Co;Mo;Ni;Ti;V,"{""Co"": ""d"", ""Mo"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CoMoNiTiV_bcc.cif
CoNiTiVW,hea,prototype,,,,,low,16,BCC_SQS,Co;Ni;Ti;V;W,"{""Co"": ""d"", ""Ni"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CoNiTiVW_bcc.cif
CoCuMoTiV,hea,prototype,,,,,low,16,BCC_SQS,Co;Cu;Mo;Ti;V,"{""Co"": ""d"", ""Cu"": ""d"", ""Mo"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CoCuMoTiV_bcc.cif
CoCuTiVW,hea,prototype,,,,,low,16,BCC_SQS,Co;Cu;Ti;V;W,"{""Co"": ""d"", ""Cu"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CoCuTiVW_bcc.cif
AlCoCuTiV,hea,prototype,,,,,low,16,BCC_SQS,Al;Co;Cu;Ti;V,"{""Al"": ""p"", ""Co"": ""d"", ""Cu"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,AlCoCuTiV_bcc.cif
CoMoNbTiV,hea,prototype,,,,,low,16,BCC_SQS,Co;Mo;Nb;Ti;V,"{""Co"": ""d"", ""Mo"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CoMoNbTiV_bcc.cif
CoNbTaTiV,hea,prototype,,,,,low,16,BCC_SQS,Co;Nb;Ta;Ti;V,"{""Co"": ""d"", ""Nb"": ""d"", ""Ta"": ""d"", ""Ti"": ""d"", ""V"": ""d""}",bcc,CoNbTaTiV_bcc.cif
CoNbTiVW,hea,prototype,,,,,low,16,BCC_SQS,Co;Nb;Ti;V;W,"{""Co"": ""d"", ""Nb"": ""d"", ""Ti"": ""d"", ""V"": ""d"", ""W"": ""d""}",bcc,CoNbTiVW_bcc.cif
