formula,class,R,status,reason,n_atoms,energy_eV,energy_per_atom_eV,elapsed_sec
Cr2TaSb,heusler,6,passed,,59,-1814.6612,-30.756969,1111.7
Cr2WAl,heusler,6,passed,,7,-192.8651,-27.552157,44.7
Cr2VGe,heusler,6,passed,,59,-1818.2405,-30.817636,283.5
Cr2TiGe,heusler,6,passed,,59,-1670.4226,-28.312247,815.7
Cr2VSn,heusler,6,passed,,52,-1545.3828,-29.7189,202.5
Cr2TiBi,heusler,6,passed,,67,-2058.3426,-30.721531,956.0
Cr2VSb,heusler,6,passed,,61,-1974.845,-32.374508,271.2
Cr2WGa,heusler,5,passed,,30,-922.8293,-30.760977,73.3
Cr2WIn,heusler,5,passed,,29,-830.8561,-28.65021,50.4
Cr2WBi,heusler,5,passed,,36,-1246.7822,-34.632839,162.7
Cr2WGe,heusler,5,passed,,37,-1183.2849,-31.980673,131.8
Cr2WIn,heusler,6,passed,,41,-1152.9554,-28.120863,143.2
Cr2WBi,heusler,6,passed,,63,-2066.144,-32.795937,254.5
Cr2WSb,heusler,6,passed,,44,-1464.9482,-33.294277,116.2
Cr2WSi,heusler,5,passed,,33,-1006.6945,-30.505894,58.7
Cr2WSn,heusler,5,passed,,33,-1032.4112,-31.285188,33.5
Cr2ZrAl,heusler,5,passed,,27,-633.4169,-23.459885,12.8
Cr2ZrBi,heusler,5,passed,,33,-938.1872,-28.429915,53.9
Cr2WGe,heusler,6,passed,,51,-1611.7217,-31.602386,329.7
Cr2WSb,heusler,5,passed,,35,-1206.5052,-34.471577,283.3
Cr2ZrGa,heusler,5,passed,,27,-653.9172,-24.219156,8.9
Cr2ZrGe,heusler,5,passed,,27,-815.4375,-30.201389,13.1
Cr2WGa,heusler,6,passed,,49,-1417.1602,-28.921637,428.6
Cr2WSn,heusler,6,passed,,46,-1386.7553,-30.146854,204.3
Cr2ZrIn,heusler,5,passed,,24,-555.7412,-23.155883,21.0
Cr2ZrSb,heusler,5,passed,,27,-927.6105,-34.355944,9.5
Cr2ZrBi,heusler,6,passed,,55,-1641.4668,-29.844851,192.6
Cr2ZrSi,heusler,5,passed,,27,-791.0449,-29.297959,18.5
Cr2ZrIn,heusler,6,passed,,55,-1333.2024,-24.240044,235.1
Cr2ZrSn,heusler,5,passed,,27,-768.0838,-28.447548,8.8
Cr2VBi,heusler,6,failed,timeout,74,,,1200.1
Cr2VIn,heusler,6,passed,,54,-1456.931,-26.980204,1051.2
Cr2WSi,heusler,6,passed,,59,-1844.8879,-31.269286,673.9
Cu2CoBi,heusler,5,passed,,27,-1567.7744,-58.065719,55.3
Cr2VSi,heusler,6,failed,timeout,62,,,1200.0
Cr2ZrGa,heusler,6,passed,,59,-1470.6661,-24.926544,674.5
Cr2ZrSb,heusler,6,passed,,59,-1743.3365,-29.548076,891.7
Cr2ZrGe,heusler,6,passed,,59,-1631.9929,-27.660897,1006.3
Cr2ZrAl,heusler,6,passed,,59,-1450.511,-24.584932,1181.9
Cr2ZrSi,heusler,6,passed,,59,-1602.4552,-27.160258,930.1
Cr2ZrSn,heusler,6,passed,,59,-1585.0704,-26.8656,1162.5
Cu2CoAl,heusler,5,failed,timeout,49,,,1200.1
Cu2CoAl,heusler,6,failed,timeout,77,,,1200.0
Cu2CoBi,heusler,6,failed,timeout,59,,,1200.0
Cu2CoIn,heusler,5,passed,,36,-2358.6511,-65.518086,745.3
Cu2CoGa,heusler,5,failed,timeout,58,,,1200.1
Cu2CoGa,heusler,6,failed,timeout,65,,,1200.0
Cu2CoSi,heusler,5,passed,,57,-4006.4337,-70.288311,408.5
Cu2CoGe,heusler,5,failed,timeout,51,,,1200.1
Cu2CoGe,heusler,6,failed,timeout,65,,,1200.0
Cu2CoIn,heusler,6,failed,timeout,67,,,1200.0
Cu2CrAl,heusler,5,passed,,51,-3057.4877,-59.950739,763.9
Cu2CoSb,heusler,5,failed,timeout,43,,,1200.0
Cu2CoSb,heusler,6,failed,timeout,62,,,1200.0
Cu2CoSi,heusler,6,failed,timeout,65,,,1200.0
Cu2CoSn,heusler,5,failed,timeout,48,,,1200.1
Cu2CoSn,heusler,6,failed,timeout,65,,,1200.1
Cu2CrAl,heusler,6,failed,timeout,65,,,1200.0
Cu2CrBi,heusler,5,failed,timeout,44,,,1200.1
Cu2CrBi,heusler,6,failed,timeout,78,,,1200.0
Cu2CrGa,heusler,5,failed,timeout,49,,,1200.1
Cu2CrGa,heusler,6,failed,timeout,81,,,900.0
Cu2CrGe,heusler,6,failed,timeout,90,,,900.1
Cu2CrGe,heusler,5,failed,timeout,48,,,1200.1
