formula,class,sg,a,n_atoms_cell,t_factor,mu_factor,vec,delta_percent,predicted_phase,confidence,elements,ang_mom
CoCrCuMnMo,hea,BCC_SQS,2.934,16,,,7.8,3.8,mixed,low,Co;Cr;Cu;Mn;Mo,"{""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Mo"": ""d""}"
CoCrCuMnTa,hea,BCC_SQS,2.964,16,,,7.6,5.87,mixed,low,Co;Cr;Cu;Mn;Ta,"{""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Ta"": ""d""}"
CoCrCuMnW,hea,BCC_SQS,2.936,16,,,7.8,3.8,mixed,low,Co;Cr;Cu;Mn;W,"{""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""W"": ""d""}"
AlCoCrCuMn,hea,BCC_SQS,2.966,16,,,7.2,4.99,mixed,low,Al;Co;Cr;Cu;Mn,"{""Al"": ""p"", ""Co"": ""d"", ""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d""}"
CoCrMnMoNb,hea,BCC_SQS,3.004,16,,,6.6,6.11,bcc,low,Co;Cr;Mn;Mo;Nb,"{""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Nb"": ""d""}"
CoCrMnNbW,hea,BCC_SQS,3.006,16,,,6.6,6.11,bcc,low,Co;Cr;Mn;Nb;W,"{""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""Nb"": ""d"", ""W"": ""d""}"
CoCrMnMoTa,hea,BCC_SQS,3.004,16,,,6.6,6.11,bcc,low,Co;Cr;Mn;Mo;Ta,"{""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""Ta"": ""d""}"
CoCrMnMoW,hea,BCC_SQS,2.976,16,,,6.8,4.65,bcc,medium,Co;Cr;Mn;Mo;W,"{""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d"", ""W"": ""d""}"
AlCoCrMnMo,hea,BCC_SQS,3.006,16,,,6.2,5.44,bcc,medium,Al;Co;Cr;Mn;Mo,"{""Al"": ""p"", ""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""Mo"": ""d""}"
CoCrMnTaW,hea,BCC_SQS,3.006,16,,,6.6,6.11,bcc,low,Co;Cr;Mn;Ta;W,"{""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""Ta"": ""d"", ""W"": ""d""}"
AlCoCrMnW,hea,BCC_SQS,3.008,16,,,6.2,5.44,bcc,medium,Al;Co;Cr;Mn;W,"{""Al"": ""p"", ""Co"": ""d"", ""Cr"": ""d"", ""Mn"": ""d"", ""W"": ""d""}"
CrCuMnNbNi,hea,BCC_SQS,2.962,16,,,7.8,6.0,mixed,low,Cr;Cu;Mn;Nb;Ni,"{""Cr"": ""d"", ""Cu"": ""d"", ""Mn"": ""d"", ""Nb"": ""d"", ""Ni"": ""d""}"
