formula,class,source,status,reason,energy_eV,energy_per_atom_eV,a_initial,a_relaxed,n_atoms,volume_change_pct,confidence_update,elapsed_sec
AlFeMoNiV,hea,prototype,passed,,-800.4514,-50.028213,6.068,5.8246,16,14.34,medium,163.3
CuFeMoNbV,hea,prototype,passed,,-856.4912,-53.5307,6.12,5.4607,16,29.77,low,119.1
AlFeNiVW,hea,prototype,passed,,-787.1471,-49.196694,6.072,5.9177,16,15.06,medium,131.5
AlCuFeNbV,hea,prototype,suspect,vol_46pct,-737.5834,-46.098962,6.184,5.0748,16,45.58,low,102.1
CuFeNbTaV,hea,prototype,passed,,-808.0291,-50.501819,6.18,5.6825,16,27.23,low,162.8
CuFeNbVW,hea,prototype,suspect,vol_36pct,-846.5157,-52.907231,6.124,5.3465,16,35.67,low,154.2
AlCuFeMoV,hea,prototype,suspect,vol_36pct,-758.5698,-47.410612,6.124,5.2847,16,36.09,low,121.6
FeMoNbVW,hea,prototype,passed,,-705.9152,-44.1197,6.204,6.1971,16,0.37,high,57.5
CuFeMoVW,hea,prototype,suspect,vol_37pct,-908.1191,-56.757444,6.064,5.2281,16,37.15,low,218.9
CuFeMoTaV,hea,prototype,suspect,vol_33pct,-862.8507,-53.928169,6.12,5.4774,16,32.77,low,228.5
CuFeTaVW,hea,prototype,suspect,vol_30pct,-838.4656,-52.4041,6.124,5.5025,16,30.48,low,173.5
AlCuFeVW,hea,prototype,suspect,vol_45pct,-770.609,-48.163063,6.128,5.2055,16,45.49,low,190.1
AlCuFeTaV,hea,prototype,suspect,vol_32pct,-768.4526,-48.028287,6.184,5.5524,16,31.66,low,203.1
FeMoTaVW,hea,prototype,passed,,-701.7441,-43.859006,6.204,6.1755,16,1.61,high,62.1
AlFeMoNbV,hea,prototype,passed,,-619.3253,-38.707831,6.264,6.1362,16,13.61,medium,162.2
AlFeNbVW,hea,prototype,passed,,-604.7567,-37.797294,6.268,5.9281,16,16.15,medium,67.7
FeMoNbTaV,hea,prototype,passed,,-677.0751,-42.317194,6.26,6.4186,16,0.24,high,202.7
AlFeNbTaV,hea,prototype,passed,,-573.0421,-35.815131,6.324,6.0464,16,13.13,medium,85.4
FeNbTaVW,hea,prototype,passed,,-662.5475,-41.409219,6.264,6.4458,16,1.8,high,155.2
CuFeMoNiV,hea,prototype,failed,timeout,,,7.428,,32,,,600.1
AlFeMoTaV,hea,prototype,passed,,-614.5297,-38.408106,6.264,6.0004,16,12.77,medium,88.9
CuFeNiVW,hea,prototype,failed,timeout,,,7.432,,32,,,600.1
AlFeTaVW,hea,prototype,passed,,-600.0283,-37.501769,6.268,6.1542,16,10.92,medium,79.4
CoMoNbNiV,hea,prototype,passed,,-912.1518,-57.009487,6.044,6.2063,16,2.04,high,76.3
AlFeMoVW,hea,prototype,passed,,-643.542,-40.221375,6.208,5.9082,16,15.33,medium,144.0
CoMoNiVW,hea,prototype,passed,,-935.7959,-58.487244,5.988,6.0139,16,0.04,high,67.5
CoNbNiVW,hea,prototype,passed,,-898.9582,-56.184888,6.048,6.118,16,1.93,high,132.4
AlCoMoNiV,hea,prototype,passed,,-836.9731,-52.310819,6.048,5.9314,16,10.11,medium,137.1
CoMoNiTaV,hea,prototype,passed,,-909.1302,-56.820637,6.044,6.3188,16,4.17,high,186.0
CoNiTaVW,hea,prototype,passed,,-896.243,-56.015188,6.048,6.3779,16,3.48,high,153.4
AlCoCuNiV,hea,prototype,passed,,-919.5975,-57.474844,5.968,5.5115,16,28.74,low,251.1
AlCoNiVW,hea,prototype,passed,,-824.3058,-51.519112,6.052,6.1364,16,9.11,high,165.5
CoCuMoNbV,hea,prototype,passed,,-849.4724,-53.092025,6.1,5.6412,16,23.84,low,182.4
CoCuNiVW,hea,prototype,passed,,-2024.1974,-63.256169,7.388,7.0774,32,13.27,medium,365.2
AlCoCuNbV,hea,prototype,suspect,vol_40pct,-731.8251,-45.739069,6.164,5.2565,16,39.56,low,112.1
CoCuNbVW,hea,prototype,passed,,-829.2876,-51.830475,6.104,5.8171,16,14.14,medium,136.3
CoCuMoTaV,hea,prototype,passed,,-840.27,-52.516875,6.1,5.8692,16,11.98,medium,122.5
CoCuMoVW,hea,prototype,passed,,-880.3892,-55.024325,6.044,5.7119,16,16.6,medium,102.6
CoCuNbTaV,hea,prototype,passed,,-798.5365,-49.908531,6.16,5.9447,16,17.67,medium,176.7
CoCuNiTaV,hea,prototype,passed,,-1975.1044,-61.722012,7.464,7.0897,32,15.48,medium,437.7
AlCoCuMoV,hea,prototype,suspect,vol_40pct,-777.3115,-48.581969,6.104,5.2759,16,39.55,low,113.2
CoCuNbNiV,hea,prototype,passed,,-1992.6621,-62.270691,7.464,7.0619,32,16.75,medium,486.0
